title,institution,place,description,source_number,source_url,image_url,lat,lon,license,author,date
Strandgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0406.jpg,URN:NBN:no-RAKV_arkiv_FA45FF189106465B AD840F4CBF37C611,http://www.knreise.no/img/riksantikvaren/T248_02_0406.jpg,,,http://creativecommons.org/licenses/by/4.0/,Herman Christian Neupert,Ukjent dato
Starvhusgaten (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0407.jpg,URN:NBN:no-RAKV_arkiv_EB81A852ACC54CF9 B93396E5EBC73C15,http://www.knreise.no/img/riksantikvaren/T248_02_0407.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Starvhusgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0408.jpg,URN:NBN:no-RAKV_arkiv_E89A59C7B88B4171 B12DE9F161E8DCB4,http://www.knreise.no/img/riksantikvaren/T248_02_0408.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Sandviksveien 77, Møllersalen (Sandviksveien 77, Bergen)",Riksantikvaren,Bergen,Fru Stoltzs villa,T248_02_0409.jpg,URN:NBN:no-RAKV_arkiv_FC559523363D45D8 99B40DCD8F1EB2FE,http://www.knreise.no/img/riksantikvaren/T248_02_0409.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandvikveien 177 (Bergen),Riksantikvaren,Bergen,287. Eneret Wilse,T248_02_0410.jpg,URN:NBN:no-RAKV_arkiv_B92BEFB0FC1E4A72 9337EECBCF20A6CE,http://www.knreise.no/img/riksantikvaren/T248_02_0410.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandviksveien 119 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0411.jpg,URN:NBN:no-RAKV_arkiv_301EC18F232847B1 A7D861203A0A1AEE,http://www.knreise.no/img/riksantikvaren/T248_02_0411.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Sandviksveien 119 (Bergen),Riksantikvaren,Bergen,303. Eneret Wilse,T248_02_0412.jpg,URN:NBN:no-RAKV_arkiv_5205E8E8C64F4CC0 82FD034C511DE6BD,http://www.knreise.no/img/riksantikvaren/T248_02_0412.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
"Sandviksveien 123, Brødretomten (Sandviksveien 123, Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0413.jpg,URN:NBN:no-RAKV_arkiv_3CD1D24FE96B4CBC 87670EE6E6451F0D,http://www.knreise.no/img/riksantikvaren/T248_02_0413.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Sandviksboder (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0416.jpg,URN:NBN:no-RAKV_arkiv_28978775913346FB 9D22A0E6C110CE49,http://www.knreise.no/img/riksantikvaren/T248_02_0416.jpg,,,http://creativecommons.org/licenses/by/4.0/,Anders Beer Wilse,Ukjent dato
Småstrandgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,1069.N,T248_02_0417.jpg,URN:NBN:no-RAKV_arkiv_55DEE66FA92D47E5 B8058ED542F36177,http://www.knreise.no/img/riksantikvaren/T248_02_0417.jpg,,,http://creativecommons.org/licenses/by/4.0/,Hermann Christian Neupert,Ukjent dato
